```
$ docker container run -it --rm 87d4043c66af /opt/install/bin/bench_kernels
2023-01-02T21:25:48+00:00
Running /opt/install/bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.89, 0.80, 0.63
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.6
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
IsingZZ<float>/AVX2/14                           175758 ns       175735 ns         4016
IsingZZ<float>/AVX2/16                           689384 ns       689214 ns         1009
IsingZZ<float>/AVX2/18                          3627270 ns      3627196 ns          192
IsingZZ<float>/AVX2/20                         15237336 ns     15234978 ns           46
IsingZZ<float>/AVX2/22                        109784772 ns    109778925 ns            6
IsingZZ<float>/AVX2/24                        501769220 ns    501696549 ns            1
T<float>/AVX2/6                                    4786 ns         4785 ns       146587
T<float>/AVX2/8                                    6457 ns         6456 ns       108773
T<float>/AVX2/10                                  12438 ns        12435 ns        57590
T<float>/AVX2/12                                  35296 ns        35291 ns        19686
T<float>/AVX2/14                                 132015 ns       131988 ns         5419
T<float>/AVX2/16                                 504559 ns       504491 ns         1382
T<float>/AVX2/18                                2712040 ns      2711117 ns          255
T<float>/AVX2/20                               11295650 ns     11293013 ns           59
T<float>/AVX2/22                               89437033 ns     89421446 ns            8
T<float>/AVX2/24                              343132124 ns    343064211 ns            2
CNOT<float>/AVX2/6                                 4578 ns         4577 ns       155492
CNOT<float>/AVX2/8                                 5702 ns         5701 ns       117888
CNOT<float>/AVX2/10                                9874 ns         9873 ns        67126
CNOT<float>/AVX2/12                               26040 ns        26036 ns        26701
CNOT<float>/AVX2/14                               99861 ns        99853 ns         8408
CNOT<float>/AVX2/16                              356278 ns       356168 ns         1909
CNOT<float>/AVX2/18                             2068861 ns      2068391 ns          320
CNOT<float>/AVX2/20                             9436774 ns      9433748 ns           72
CNOT<float>/AVX2/22                            79989276 ns     79971784 ns            8
CNOT<float>/AVX2/24                           337996236 ns    337920424 ns            2
CZ<float>/AVX2/6                                   4853 ns         4852 ns       144867
CZ<float>/AVX2/8                                   5975 ns         5975 ns       116934
CZ<float>/AVX2/10                                  9668 ns         9665 ns        72435
CZ<float>/AVX2/12                                 25248 ns        25245 ns        25379
CZ<float>/AVX2/14                                 85824 ns        85819 ns         8669
CZ<float>/AVX2/16                                284832 ns       284813 ns         2240
CZ<float>/AVX2/18                               1671166 ns      1670911 ns          390
CZ<float>/AVX2/20                               8678502 ns      8677694 ns          103
CZ<float>/AVX2/22                              65774100 ns     65753821 ns           10
CZ<float>/AVX2/24                             277438565 ns    277391602 ns            3
PauliX<float>/AVX2/6                               4503 ns         4501 ns       155497
