```
$ ./benchmark_all.sh 
2023-01-01T19:40:25+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 2.37, 1.92, 1.59
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
S<float>/AVX2/10                                  10464 ns        10464 ns        66986
S<float>/AVX2/12                                  31279 ns        31278 ns        22438
S<float>/AVX2/14                                 113104 ns       113104 ns         6185
S<float>/AVX2/16                                 444946 ns       444921 ns         1548
S<float>/AVX2/18                                2737823 ns      2737742 ns          257
S<float>/AVX2/20                               11728780 ns     11728359 ns           55
S<float>/AVX2/22                               96707533 ns     96707747 ns            7
S<float>/AVX2/24                              401877866 ns    401878509 ns            2
IsingZZ<float>/AVX2/6                              4628 ns         4628 ns       150038
IsingZZ<float>/AVX2/8                              6573 ns         6573 ns       107072
IsingZZ<float>/AVX2/10                            14158 ns        14158 ns        48603
IsingZZ<float>/AVX2/12                            46299 ns        46299 ns        15674
IsingZZ<float>/AVX2/14                           166789 ns       166788 ns         4073
IsingZZ<float>/AVX2/16                           668714 ns       668714 ns         1032
IsingZZ<float>/AVX2/18                          3739017 ns      3738890 ns          189
IsingZZ<float>/AVX2/20                         16116084 ns     16115776 ns           43
IsingZZ<float>/AVX2/22                        110810421 ns    110810686 ns            6
IsingZZ<float>/AVX2/24                        515056495 ns    515025595 ns            1
T<float>/AVX2/6                                    3683 ns         3683 ns       188707
T<float>/AVX2/8                                    5302 ns         5302 ns       132620
T<float>/AVX2/10                                  11086 ns        11086 ns        62740
T<float>/AVX2/12                                  33875 ns        33875 ns        21294
T<float>/AVX2/14                                 122389 ns       122387 ns         5689
T<float>/AVX2/16                                 490415 ns       490409 ns         1433
T<float>/AVX2/18                                2925540 ns      2925487 ns          245
T<float>/AVX2/20                               11810350 ns     11810285 ns           59
T<float>/AVX2/22                               90961775 ns     90960982 ns            8
T<float>/AVX2/24                              395701039 ns    395697407 ns            2
CNOT<float>/AVX2/6                                 3560 ns         3560 ns       195231
CNOT<float>/AVX2/8                                 4843 ns         4843 ns       146316
CNOT<float>/AVX2/10                                9078 ns         9078 ns        75091
CNOT<float>/AVX2/12                               28618 ns        28618 ns        26868
CNOT<float>/AVX2/14                               92131 ns        92129 ns         6949
CNOT<float>/AVX2/16                              372200 ns       372195 ns         1887
CNOT<float>/AVX2/18                             2412411 ns      2412367 ns          306
CNOT<float>/AVX2/20                            10337115 ns     10337140 ns           65
CNOT<float>/AVX2/22                            80788044 ns     80784445 ns            8
CNOT<float>/AVX2/24                           384376246 ns    384371271 ns            2
CZ<float>/AVX2/6                                   3844 ns         3844 ns       180776
CZ<float>/AVX2/8                                   4829 ns         4829 ns       146695
CZ<float>/AVX2/10                                  8936 ns         8936 ns        77786
CZ<float>/AVX2/12                                 25364 ns        25364 ns        26721
CZ<float>/AVX2/14                                 79384 ns        79381 ns         7675
CZ<float>/AVX2/16                                348547 ns       348548 ns         2356
CZ<float>/AVX2/18                               1607237 ns      1607174 ns          376
CZ<float>/AVX2/20                               8926019 ns      8926043 ns           75
CZ<float>/AVX2/22                              71348688 ns     71346606 ns           10
CZ<float>/AVX2/24                             311189592 ns    311185344 ns            2
PauliX<float>/AVX2/6                               3501 ns         3501 ns       200977
PauliX<float>/AVX2/8                               4615 ns         4615 ns       150152
PauliX<float>/AVX2/10                              9774 ns         9774 ns        71034
PauliX<float>/AVX2/12                             29719 ns        29718 ns        24279
PauliX<float>/AVX2/14                            113693 ns       113691 ns         6347
PauliX<float>/AVX2/16                            418861 ns       418858 ns         1615
PauliX<float>/AVX2/18                           3440574 ns      3440542 ns          205
PauliX<float>/AVX2/20                          15540305 ns     15540353 ns           44
PauliX<float>/AVX2/22                         132179417 ns    132179765 ns            5
