```
$ ./bin/bench_kernels
2023-01-04T06:35:37+00:00
Running ./bin/bench_kernels
Run on (48 X 3000 MHz CPU s)
CPU Caches:
  L1 Data 32 KiB (x24)
  L1 Instruction 32 KiB (x24)
  L2 Unified 1024 KiB (x24)
  L3 Unified 16896 KiB (x2)
Load Average: 0.52, 0.65, 1.03
CPU::AVX: True
CPU::AVX2: True
CPU::AVX512F: True
CPU::Brand: Intel(R) Xeon(R) Silver 4116 CPU @ 2.10GHz
CPU::Vendor: GenuineIntel
Compiler::Name: Clang
Compiler::Version: 15.0.0
***WARNING*** CPU scaling is enabled, the benchmark real time measurements may be noisy and will incur extra overhead.
---------------------------------------------------------------------------------------
Benchmark                                             Time             CPU   Iterations
CZ<float>/AVX2/10                                  9286 ns         9281 ns        76986
CZ<float>/AVX2/12                                 24136 ns        24131 ns        27345
CZ<float>/AVX2/14                                 87567 ns        87529 ns         7804
CZ<float>/AVX2/16                                341519 ns       341450 ns         2002
CZ<float>/AVX2/18                               1825551 ns      1824803 ns          379
CZ<float>/AVX2/20                               8658888 ns      8657584 ns           71
CZ<float>/AVX2/22                              64474904 ns     64456209 ns            9
CZ<float>/AVX2/24                             324928240 ns    324783375 ns            2
PauliX<float>/AVX2/6                               3517 ns         3516 ns       198810
PauliX<float>/AVX2/8                               4617 ns         4616 ns       152213
PauliX<float>/AVX2/10                              9583 ns         9582 ns        69928
PauliX<float>/AVX2/12                             29833 ns        29823 ns        23308
PauliX<float>/AVX2/14                            115312 ns       115266 ns         6240
PauliX<float>/AVX2/16                            441909 ns       441818 ns         1555
PauliX<float>/AVX2/18                           3324345 ns      3323195 ns          212
PauliX<float>/AVX2/20                          14608069 ns     14601539 ns           46
PauliX<float>/AVX2/22                         114487623 ns    114457207 ns            6
PauliX<float>/AVX2/24                         516968509 ns    516856670 ns            1
